Epoch,Batch,Phase,Loss,Accuracy
3,140,Train,0.623219558596611,83.046875
3,150,Train,0.6098953366279602,82.734375
3,160,Train,0.6106211364269256,84.0625
3,170,Train,0.6022506266832351,82.96875
3,180,Train,0.5884772330522537,83.515625
3,190,Train,0.605719831585884,83.28125
3,200,Train,0.6626211822032928,81.640625
3,210,Train,0.6485110819339752,81.25
3,220,Train,0.6457976758480072,82.265625
3,230,Train,0.6498132437467575,82.578125
3,240,Train,0.6583192527294159,81.71875
3,250,Train,0.6842368483543396,81.09375
3,260,Train,0.6462473213672638,82.421875
3,270,Train,0.6875635147094726,80.9375
3,280,Train,0.668957993388176,81.5625
3,290,Train,0.6633317291736602,80.703125
3,300,Train,0.6849325746297836,80.3125
3,310,Train,0.6393788635730744,82.1875
3,320,Train,0.6924438416957855,81.015625
